iter	Passed	Remaining
0	50	40252
1	51	20505
2	52	13975
3	53	10700
4	54	8663
5	55	7367
6	56	6455
7	58	5754
8	59	5188
9	60	4760
10	61	4425
11	63	4156
12	64	3904
13	65	3689
14	66	3499
15	68	3333
16	68	3170
17	69	3040
18	71	2920
19	72	2812
20	72	2707
21	74	2619
22	75	2539
23	76	2465
24	77	2406
25	78	2348
26	79	2275
27	80	2220
28	81	2170
29	82	2127
30	84	2084
31	85	2042
32	86	1999
33	86	1958
34	88	1924
35	89	1890
36	90	1860
37	91	1829
38	92	1798
39	93	1771
40	94	1745
41	95	1721
42	96	1697
43	97	1674
44	98	1646
45	99	1623
46	100	1603
47	101	1582
48	101	1563
49	102	1541
50	103	1524
51	104	1505
52	105	1490
53	106	1474
54	107	1459
55	109	1457
56	110	1437
57	111	1423
58	112	1410
59	113	1394
60	114	1382
61	115	1370
62	116	1359
63	117	1348
64	118	1337
65	119	1327
66	120	1317
67	121	1307
68	122	1297
69	123	1288
70	124	1278
71	125	1270
72	126	1256
73	127	1248
74	128	1239
75	129	1231
76	130	1220
77	131	1213
78	132	1206
79	133	1198
80	134	1190
81	135	1184
82	136	1177
83	137	1171
84	138	1165
85	139	1156
86	140	1149
87	141	1143
88	141	1133
89	142	1127
90	144	1121
91	145	1116
92	145	1106
93	146	1100
94	147	1095
95	148	1089
96	149	1084
97	150	1078
98	151	1073
99	152	1069
100	154	1068
101	155	1062
102	156	1057
103	157	1053
104	158	1048
105	159	1044
106	160	1039
107	161	1035
108	162	1030
109	163	1026
110	164	1021
111	166	1020
112	167	1016
113	168	1013
114	169	1009
115	170	1005
116	171	1001
117	172	997
118	173	992
119	174	988
120	175	984
121	176	981
122	177	977
123	178	973
124	179	970
125	180	966
126	181	963
127	182	960
128	183	957
129	185	953
130	186	950
131	187	946
132	188	943
133	189	940
134	190	936
135	192	938
136	193	935
137	194	932
138	195	929
139	196	926
140	197	923
141	198	920
142	199	916
143	200	913
144	201	910
145	202	907
146	203	904
147	204	901
148	205	898
149	206	895
150	207	893
151	209	891
152	210	888
153	211	885
154	212	882
155	213	879
156	214	876
157	215	874
158	216	871
159	217	868
160	218	866
161	219	863
162	220	860
163	221	857
164	222	854
165	222	851
166	223	848
167	224	846
168	225	843
169	226	840
170	227	838
171	228	835
172	229	832
173	230	830
174	231	827
175	232	825
176	233	823
177	234	820
178	235	818
179	236	816
180	237	813
181	238	811
182	239	808
183	240	805
184	241	803
185	242	801
186	243	799
187	244	796
188	245	794
189	246	792
190	247	789
191	248	787
192	249	785
193	251	784
194	252	782
195	253	779
196	254	777
197	255	775
198	255	773
199	256	770
200	257	768
201	258	766
202	259	764
203	260	762
204	261	760
205	263	758
206	263	756
207	265	754
208	265	752
209	266	749
210	268	748
211	269	747
212	270	745
213	271	743
214	272	742
215	273	740
216	274	738
217	275	736
218	277	734
219	277	732
220	279	731
221	280	729
222	281	727
223	282	725
224	283	723
225	284	723
226	285	721
227	286	719
228	288	718
229	289	716
230	290	714
231	291	713
232	292	711
233	293	709
234	294	707
235	295	705
236	296	703
237	297	701
238	298	699
239	299	697
240	300	695
241	301	694
242	302	692
243	303	691
244	304	689
245	305	688
246	306	686
247	307	685
248	308	683
249	310	682
250	311	680
251	312	678
252	313	677
253	314	675
254	315	673
255	316	672
256	317	670
257	318	668
258	319	666
259	320	665
260	321	663
261	322	661
262	323	660
263	324	658
264	325	656
265	326	655
266	327	653
267	328	652
268	329	650
269	330	648
270	331	647
271	332	645
272	333	643
273	334	642
274	335	640
275	336	639
276	337	637
277	338	636
278	339	634
279	341	633
280	342	631
281	343	630
282	344	628
283	345	626
284	346	625
285	347	623
286	348	622
287	349	620
288	350	619
289	351	617
290	352	615
291	353	614
292	354	612
293	355	611
294	356	609
295	357	607
296	358	606
297	359	604
298	360	603
299	361	601
300	362	600
301	363	598
302	364	597
303	365	595
304	366	594
305	367	593
306	368	591
307	369	590
308	370	588
309	372	588
310	373	587
311	374	585
312	375	584
313	376	582
314	377	581
315	378	579
316	379	578
317	380	576
318	381	575
319	382	573
320	383	572
321	384	570
322	385	569
323	386	568
324	388	567
325	389	566
326	390	565
327	392	564
328	393	562
329	394	561
330	395	559
331	396	558
332	397	556
333	398	555
334	399	554
335	400	552
336	401	551
337	402	549
338	403	548
339	404	547
340	405	545
341	406	544
342	407	543
343	408	541
344	409	540
345	410	538
346	411	537
347	412	535
348	413	534
349	414	532
350	415	531
351	416	530
352	417	528
353	418	527
354	419	525
355	420	524
356	421	523
357	422	521
358	423	520
359	424	518
360	425	517
361	426	515
362	427	514
363	428	513
364	429	511
365	430	510
366	431	509
367	432	507
368	433	506
369	434	505
370	435	503
371	436	502
372	437	500
373	438	499
374	439	498
375	440	496
376	441	495
377	442	494
378	443	492
379	444	491
380	445	490
381	446	488
382	447	487
383	448	486
384	449	484
385	450	483
386	451	482
387	452	480
388	453	479
389	454	478
390	455	476
391	456	475
392	457	474
393	458	472
394	459	471
395	460	470
396	461	468
397	462	467
398	463	466
399	464	464
400	465	463
401	466	462
402	467	460
403	468	459
404	469	458
405	470	456
406	471	455
407	472	454
408	473	452
409	474	451
410	475	450
411	477	449
412	478	448
413	479	447
414	480	445
415	481	444
416	482	443
417	483	441
418	484	440
419	485	439
420	486	438
421	487	436
422	488	435
423	489	434
424	490	432
425	491	431
426	493	430
427	494	429
428	495	428
